cmo_medio_diario,pld_medio_diario,ena_armazenavel_perc,ear_verif_perc,intercambio_liquido_mwmed
248.30583333333334,231.17875,69.14000431791666,21.880008459583333,-1184.54125
162.27142857142857,165.98428571428573,67.65526717107143,26.062217779642857,-1140.6389285714286
117.71290322580644,109.02387096774193,66.43629997000001,33.17818715483871,-1598.4225806451611
139.32233333333335,132.627,55.112390009,35.27127316833333,-1422.146
242.79064516129034,218.70129032258063,60.0499906232258,33.27316161129032,-1141.9454838709676
549.8133333333334,336.98766666666666,65.1436601,30.547880045333333,-1161.1466666666668
1121.3616129032257,583.88,60.652316310322576,27.656332139032255,-2212.544516129032
2540.168275862069,583.88,58.71930681275862,23.918231174827586,-2548.3172413793104
858.8933333333333,577.37,55.495490011,18.560693422999996,-2948.8563333333336
242.66387096774193,249.36387096774192,91.93684091774193,17.16746441032258,-2436.9093548387095
83.89533333333334,88.104,91.90792973833332,18.965593273666666,-1568.2473333333332
68.94774193548388,66.66774193548386,84.03024833419354,22.1094161,-1452.0183870967742
52.91275862068966,62.90275862068966,98.21157573862068,35.83396569655172,-1768.2389655172415
9.850769230769231,55.7,100.95752745423077,50.89435386653846,-1557.7646153846154
17.28533333333333,55.7,71.24672012333333,60.93644701666667,-1654.712
22.84733333333333,55.7,70.63546320533332,65.607396698,-2638.848
25.96193548387097,55.7,65.98073897903225,66.66783215903226,-2626.0593548387096
46.30266666666667,55.71333333333334,73.63613662766667,66.15089086033333,-2786.3686666666667
64.83709677419355,66.31967741935483,65.36734820967742,63.74499991645161,-3104.689677419355
74.69322580645161,76.90548387096774,77.61526784548387,58.56690942032258,-2590.541935483871
39.30793103448276,56.08862068965518,81.68832765793104,53.036213577931036,-2384.93
4.6193333333333335,55.7,103.21346918833333,50.673056921,-2638.1046666666666
0.022962962962962963,55.7,76.32231535666666,48.25643327555555,-1053.7322222222222
0.012916666666666667,55.70000000000001,90.83780479458333,49.06193749166667,-1096.6983333333333
0.0,69.04,97.52705746571428,62.76948656380953,-1535.8
0.0,69.04,70.484788455,74.20850313576923,-2052.6965384615387
0.0,69.04,73.90886713666667,80.81747945133334,-1376.525
0.0,69.04,73.16878318766666,85.289383951,-910.0640000000001
0.0,69.04,75.9977165967742,86.18849059129032,-1142.9903225806452
0.0,69.04,90.41498947166666,86.483302561,-1111.8903333333333
0.0,69.04,87.81248375612903,85.40624876903226,-2014.8454838709677
0.0006451612903225806,69.04,88.87058356516128,81.7517392551613,-1738.215806451613
18.279,80.36933333333334,86.635026804,75.91855290766667,-2012.6086666666667
18.264333333333337,75.03866666666667,92.73503672266666,70.45856679333333,-2851.3776666666668
27.961666666666666,84.40266666666666,74.88822987833333,66.18337631166666,-2049.4713333333334
12.346774193548388,74.09387096774195,56.25493880258065,62.413338198709674,-1659.7522580645161
2.9896774193548383,61.14064516129032,54.90731319354838,60.892767998064514,-719.4938709677419
0.764814814814815,61.20703703703703,59.54909246888889,62.61498514740741,-2056.5918518518515
0.9025806451612903,61.07,62.666961670000006,65.82678764096775,-2246.701935483871
8.323666666666666,61.07,80.32601699833334,71.98063659733333,-2094.008
1.3003225806451613,61.07,58.40843889774193,72.14792608483872,-3818.9777419354837
26.200333333333333,66.40533333333333,54.828359985333336,69.65336074866667,-2837.472
77.55833333333334,87.38166666666666,57.60410321533333,64.992170842,-2837.970333333333
110.53032258064516,118.78967741935485,57.03075175193548,59.30332589967742,-2711.119677419355
366.39733333333334,307.5926666666667,46.03127021866667,50.91584014833334,-2278.188333333333
515.9667741935484,480.7845161290322,57.55215835612903,42.42240659741936,-2010.5045161290323
152.22400000000002,103.50733333333332,109.77161992333335,41.966713206,-1466.1616666666666
13.667333333333334,64.92366666666666,94.06327667266667,45.11569671666667,-1779.5033333333333
32.24225806451613,59.21193548387097,92.62256451612903,57.310590322580644,-983.8574193548386
102.14928571428571,93.75857142857144,79.4145,67.38204642857143,-1687.7921428571428
314.80548387096775,327.3235483870968,53.02592903225806,68.1624193548387,-1987.4470967741936
194.56533333333334,202.18366666666668,70.47808666666667,69.03029333333333,-1585.2603333333332
167.49133333333333,211.88133333333332,73.47788999999999,69.70057333333332,-1578.9456666666667
218.0546666666667,234.71099999999998,77.16358999999999,67.38011666666667,-1793.2963333333332
196.79516129032257,210.02161290322582,73.79812903225807,64.91674838709677,-1954.419677419355
283.29548387096776,287.16483870967744,67.95289032258064,60.48778709677419,-1998.2138709677417
258.503,260.34766666666667,59.10187666666666,53.845800000000004,-2645.4309999999996
250.74354838709678,250.19129032258064,56.92652903225807,46.86888064516128,-2830.371612903226
304.69444444444446,300.4388888888889,70.88524444444445,44.0897,-1664.18
